Alpha,Accuracy,F1,Precision,Recall
1,0.9495,0.7619,0.6667,0.8889
1.5,0.9192,0.5556,0.5556,0.5556
2,0.899,0.4444,0.4444,0.4444
2.5,0.8889,0.4211,0.4,0.4444
3,0.8889,0.4211,0.4,0.4444
3.5,0.8687,0.381,0.3333,0.4444
4,0.8586,0.3,0.2727,0.3333
4.5,0.8586,0.3,0.2727,0.3333
5,0.8586,0.3,0.2727,0.3333
5.5,0.8586,0.3,0.2727,0.3333
6,0.8586,0.3,0.2727,0.3333
6.5,0.8586,0.3,0.2727,0.3333
7,0.8586,0.3,0.2727,0.3333
7.5,0.8586,0.3,0.2727,0.3333
8,0.8485,0.2105,0.2,0.2222
8.5,0.8485,0.2105,0.2,0.2222
9,0.8485,0.2105,0.2,0.2222
9.5,0.8485,0.2105,0.2,0.2222
10,0.8485,0.2105,0.2,0.2222